attributeName,attributeDefinition,formatString,definition,unit,numberType,type,factor,comment
magnesium,CaCl2 extract of magnesium (Mg) (mg per 100g soil) with VDLUFA method A 6.2.4.1 by engineering office Dr. Haeusler 2017-11-28,NA,NA,milligramPerDezigram,NA,numeric,NA,VDLUFA (Verband Deutscher Landwirtschaftlicher Untersuchungs- und Forschungsanstalten) (1991) VDLUFA-Methodenhandbuch. Die Untersuchung von Böden. Band I. URL: https://www.vdlufa.de/Methodenbuch/index.php?option=com_content&view=article&id=7&Itemid=108&lang=de
magnesium_class,Ferilization classification according to LfL (2018) (values for agricultural land not greenland),NA,NA,NA,NA,factor,A = very low / C = optimum / E = very high,LfL (Bayerische Landesanstalt für Landwirtschaft) (2018) Leitfaden für die Düngung von Acker- und Grünland. 14th ed. URL: https://www.lfl.bayern.de/mam/cms07/publikationen/daten/informationen/leitfaden-duengung-acker-gruenland_gelbes-heft_lfl-information.pdf (accessed 2022-02-16)
topsoil_depth,Measured depth of topsoil but if necessary taken from plans,NA,NA,centimeter,integer,numeric,NA,NA
finematerial_depth,Measured depth of fine material,NA,NA,centimeter,integer,numeric,NA,NA
finematerial_density,Dry bulk density of fine material,NA,NA,gramPerCentimeterCubed,real,numeric,NA,NA
skeleton_ratio_vol,Volume ratio of sceleton of total topsoil (volume percent),NA,NA,percent,integer,numeric,NA,NA
skeleton_ratio_mass,Mass ratio of sceleton incl. Rough organic material (weight percent),NA,NA,percent,integer,numeric,NA,NA
skeleton_level,Level of sceleton ratio according to Ad-hoc-AG Boden (2005) Tab. 33,NA,NA,NA,NA,factor,1 = stones and gravel <2 volpercent / 2 = 2-10 volpercent / 3 = 10-25 volpercent / 4 = 25-50 volpercent / 5 = 50-75 volpercent / 6 =  stones and gravel >75 volpercent,"Ad-hoc-AG Boden (2005) Manual of soil mapping. 5th ed. Schweizerbart, Hannover. ISBN: 978-3-510-95920-4"
ufc_percent,Usable field capcity of topsoil in volume percent,NA,NA,percent,real,numeric,NA,NA
ufc_mm,Usable field capacity in topsoil in mm,NA,NA,millimeter,real,numeric,NA,NA
